activity_id,name,description,start_time,end_time,organizer,facility_id
4001,计算与智能创新学院新生科研导引讲座,面向本科新生介绍智能计算、数据系统与实验平台方向的科研入门讲座,2025-09-15 18:30:00,2025-09-15 20:00:00,计算与智能创新学院,1007
4002,文科图书馆夜读计划,组织读者在夜间延长开放时段参与主题阅读与分享,2025-10-10 19:00:00,2025-10-10 21:00:00,文科图书馆,1008
4003,江湾羽毛球挑战赛,校区羽毛球爱好者友谊赛与新手体验活动,2025-10-18 14:00:00,2025-10-18 17:00:00,体育教学部,1022
4004,护理技能工作坊,基础护理流程示范与常见操作练习,2025-11-05 13:30:00,2025-11-05 16:30:00,护理学院,1028
4005,集成电路与微纳电子创新学院张江芯片设计分享会,邀请高年级学生介绍芯片设计课程、EDA 工具入门与竞赛经验,2025-10-22 19:00:00,2025-10-22 20:30:00,集成电路与微纳电子创新学院,1033
4006,职涯咨询开放日,面向学生提供简历修改和求职方向咨询服务,2025-09-25 13:30:00,2025-09-25 16:00:00,学生职业发展教育服务中心,1013
4007,计算与智能创新学院数据库与数据智能竞赛宣讲会,介绍校内数据库竞赛与数据智能方向项目的赛制和报名安排,2025-09-20 18:30:00,2025-09-20 20:30:00,计算与智能创新学院,1002
4008,数学建模经验交流会,邀请往届参赛学生分享建模选题与论文写作经验,2025-10-12 18:30:00,2025-10-12 20:30:00,数学科学学院,1020
4009,枫林校区健康跑,面向师生开放的校园慢跑与健康打卡活动,2025-10-08 16:30:00,2025-10-08 18:00:00,护理学院,1030
4010,英语角秋季专场,以校园生活和留学申请为主题的英文交流活动,2025-10-15 18:30:00,2025-10-15 20:00:00,外国语言文学学院,1016
4011,模拟法庭训练营,围绕案例分析和庭审表达开展分组训练,2025-11-12 14:00:00,2025-11-12 17:00:00,法学院,1001
4012,新闻写作训练营,通过现场采访与改稿练习提升新闻写作能力,2025-10-26 09:30:00,2025-10-26 12:00:00,新闻学院,1001
4013,智能材料与未来能源创新学院实验室安全培训,为进入材料与能源实验平台的新生讲解基础安全规范和器材使用要求,2025-09-28 14:00:00,2025-09-28 16:00:00,智能材料与未来能源创新学院,1023
4014,公共政策圆桌论坛,围绕城市治理和公共服务优化开展专题讨论,2025-11-08 14:00:00,2025-11-08 16:30:00,国际关系与公共事务学院,1037
4015,信息科学与工程创新学院开放实验室日,展示电子系统、信息处理与开放实验平台的基础体验项目,2025-11-20 18:30:00,2025-11-20 20:30:00,信息科学与工程创新学院,1037