facility_id,name,type,open_time,building_id
1001,东辅楼101会议室,会议室,工作日 08:30-20:30,101
1002,光华楼报告厅,报告厅,工作日 09:00-21:00,101
1003,光华就业服务中心,办公服务,工作日 09:00-17:30,101
1004,H2201,教室,工作日 08:00-21:30,102
1005,H2208,教室,工作日 08:00-21:30,102
1006,H2303,教室,工作日 08:00-21:30,102
1007,第二教学楼报告厅,报告厅,工作日 09:00-21:00,102
1008,文科图书馆参考阅览室,图书阅览室,每日 08:00-22:00,103
1009,文科图书馆静音仓A,自习室,每日 08:00-22:00,103
1010,文科图书馆静音仓B,自习室,每日 08:00-22:00,103
1011,旦苑一楼餐厅,餐饮服务,每日 06:30-20:00,104
1012,旦苑二楼餐厅,餐饮服务,每日 10:30-20:00,104
1013,学生事务大厅,办公服务,工作日 08:30-17:00,105
1014,南区生活服务点,其他,每日 09:00-21:00,105
1015,江湾图书馆主阅览室,图书阅览室,每日 08:00-22:00,106
1016,江湾图书馆研讨室1,会议室,每日 09:00-21:00,106
1017,江湾图书馆静音仓,自习室,每日 08:00-22:00,106
1018,J1101,教室,工作日 08:00-21:30,107
1019,J1205,教室,工作日 08:00-21:30,107
1020,江湾第一教学楼报告厅,报告厅,工作日 09:00-21:00,107
1021,室内篮球馆,体育设施,每日 09:00-22:00,108
1022,羽毛球馆,体育设施,每日 09:00-22:00,108
1023,材料实验室A,实验室,工作日 08:30-18:00,109
1024,材料实验室B,实验室,工作日 08:30-18:00,109
1025,枫林图书馆阅览室,图书阅览室,每日 08:00-22:00,110
1026,枫林图书馆研讨间,会议室,每日 09:00-21:00,110
1027,F2101,教室,工作日 08:00-21:30,111
1028,护理技能实验室,实验室,工作日 08:30-18:00,111
1029,枫林报告厅,报告厅,工作日 09:00-21:00,111
1030,枫林健身房,体育设施,每日 09:00-22:00,112
1031,ZJA201,教室,工作日 08:00-21:30,113
1032,ZJA301,教室,工作日 08:00-21:30,113
1033,张江学术报告厅,报告厅,工作日 09:00-21:00,113
1034,微电子实验室A,实验室,工作日 08:30-18:00,114
1035,微电子实验室B,实验室,工作日 08:30-18:00,114
1036,张江学生事务大厅,办公服务,工作日 08:30-17:00,115
1037,创新交流空间,会议室,每日 09:00-21:00,115